"Climate profile","Temp_continuous","Proportion_continuous"
"Cold stable",19.6,0.227468448591712
"Cold stable",19.7,0.222109893298314
"Cold stable",19.8,0.216711330400014
"Cold stable",19.9,0.211282585701829
"Cold stable",20,0.205833485008774
"Cold stable",20.1,0.200373854125867
"Cold stable",20.2,0.194913518858122
"Cold stable",20.3,0.189462305010558
"Cold stable",20.4,0.18403003838819
"Cold stable",20.5,0.178626544796034
"Cold stable",20.6,0.173261650039107
"Cold stable",20.7,0.167945179922426
"Cold stable",20.8,0.162686960251006
"Cold stable",20.9,0.157496816829864
"Cold stable",21,0.152384575464016
"Cold stable",21.1,0.147360061958479
"Cold stable",21.2,0.142433102118269
"Cold stable",21.3,0.137613521748403
"Cold stable",21.4,0.132911146653896
"Cold stable",21.5,0.128335802639766
"Cold stable",21.6,0.123897315511028
"Cold stable",21.7,0.119605511072698
"Cold stable",21.8,0.115470215129795
"Cold stable",21.9,0.111501253487332
"Cold stable",22,0.107708451950328
"Cold stable",22.1,0.104101636323798
"Cold stable",22.2,0.100690632412759
"Cold stable",22.3,0.0974852660222264
"Cold stable",22.4,0.0944953629572176
"Cold stable",22.5,0.0917307490227487
"Cold stable",22.6,0.0890842305419443
"Cold stable",22.7,0.0864427382952004
"Cold stable",22.8,0.0838072847734398
"Cold stable",22.9,0.0811788824675851
"Cold stable",23,0.0785585438685593
"Cold stable",23.1,0.0759472814672849
"Cold stable",23.2,0.0733461077546848
"Cold stable",23.3,0.070756035221682
"Cold stable",23.4,0.0681780763591989
"Cold stable",23.5,0.0656132436581585
"Cold stable",23.6,0.0630625496094835
"Cold stable",23.7,0.0605270067040966
"Cold stable",23.8,0.0580076274329208
"Cold stable",23.9,0.0555054242868786
"Cold stable",24,0.053021409756893
"Cold stable",24.1,0.0505565963338866
"Cold stable",24.2,0.0481119965087823
"Cold stable",24.3,0.0456886227725028
"Cold stable",24.4,0.0432874876159709
"Cold stable",24.5,0.0409096035301094
"Cold stable",24.6,0.0385559830058409
"Cold stable",24.7,0.0362276385340884
"Cold stable",24.8,0.0339255826057746
"Cold stable",24.9,0.0316508277118222
"Cold stable",25,0.0294043863431541
"Cold stable",25.1,0.0271872709906929
"Cold stable",25.2,0.0250004941453615
"Cold stable",25.3,0.0228450682980827
"Cold stable",25.4,0.0207220059397792
"Cold stable",25.5,0.0186323195613738
"Cold stable",25.6,0.0165770216537892
"Cold stable",25.7,0.0145571247079483
"Cold stable",25.8,0.0125736412147738
"Cold stable",25.9,0.0106275836651884
"Cold stable",26,0.00871996455011506
"Cold stable",26.1,0.00685179636047636
"Cold stable",26.2,0.00502409158719517
"Cold stable",26.3,0.00323786272119432
"Cold stable",26.4,0.00149412225339643
"Cold stable",26.5,0
"Cold stable",26.6,0
"Cold stable",26.7,0
"Cold stable",26.8,0
"Cold stable",26.9,0
"Cold stable",27,0
"Cold stable",27.1,0
"Cold stable",27.2,0
"Cold stable",27.3,0
"Cold stable",27.4,0
"Cold stable",27.5,0
"Cold stable",27.6,0
"Cold stable",27.7,0
"Cold stable",27.8,0
"Cold stable",27.9,0
"Cold stable",28,0
"Cold stable",28.1,0
"Cold stable",28.2,0
"Cold stable",28.3,0
"Cold stable",28.4,0
"Cold stable",28.5,0
"Cold stable",28.6,0
"Cold stable",28.7,0
"Cold stable",28.8,0
"Cold stable",28.9,0
"Cold stable",29,0
"Cold stable",29.1,0
"Cold stable",29.2,0
"Cold stable",29.3,0
"Cold stable",29.4,0
"Cold stable",29.5,0
"Cold stable",29.6,0
"Cold stable",29.7,0
"Cold stable",29.8,0
"Cold stable",29.9,0
"Cold stable",30,0
"Cold stable",30.1,0
"Cold stable",30.2,0
"Cold stable",30.3,0
"Cold stable",30.4,0
"Cold stable",30.5,0
"Cold stable",30.6,0
"Cold stable",30.7,0
"Cold stable",30.8,0
"Cold stable",30.9,0
"Cold stable",31,0
"Cold stable",31.1,0
"Cold stable",31.2,0
"Cold stable",31.3,0
"Cold stable",31.4,0
"Cold stable",31.5,0
"Cold stable",31.6,0
"Cold stable",31.7,0
"Cold stable",31.8,0
"Cold stable",31.9,0
"Cold stable",32,0
"Cold stable",32.1,0
"Cold stable",32.2,0
"Cold stable",32.3,0
"Cold stable",32.4,0
"Cold stable",32.5,0
"Cold stable",32.6,0
"Cold stable",32.7,0
"Cold stable",32.8,0
"Cold stable",32.9,0
"Cold stable",33,0
"Cold stable",33.1,0
"Cold stable",33.2,0
"Cold stable",33.3,0
"Cold stable",33.4,0
"Cold stable",33.5,0
"Cold stable",33.6,0
"Cold stable",33.7,0
"Cold stable",33.8,0
"Cold stable",33.9,0
"Cold stable",34,0
"Cold stable",34.1,0
"Cold stable",34.2,0
"Cold stable",34.3,0
"Cold stable",34.4,0
"Cold stable",34.5,0
"Cold stable",34.6,0
"Cold stable",34.7,0
"Cold stable",34.8,0
"Cold stable",34.9,0
"Cold stable",35,0
"Cold stable",35.1,0
"Cold stable",35.2,0
"Cold stable",35.3,0
"Cold stable",35.4,0
"Cold stable",35.5,0
"Cold stable",35.6,0
"Cold stable",35.7,0
"Cold stable",35.8,0
"Cold stable",35.9,0
"Cold stable",36,0
"Cold stable",36.1,0
"Cold stable",36.2,0
"Cold stable",36.3,0
"Cold stable",36.4,0
"Cold stable",36.5,0
"Cold stable",36.6,0
"Cold stable",36.7,0
"Cold stable",36.8,0
"Cold stable",36.9,0
"Cold stable",37,0
"Cold stable",37.1,0
"Cold stable",37.2,0
"Cold stable",37.3,0
"Cold stable",37.4,0
"Cold stable",37.5,0
"Cold stable",37.6,0
"Cold stable",37.7,0
"Cold stable",37.8,0
"Cold stable",37.9,0
"Cold stable",38,0
"Cold stable",38.1,0
"Cold stable",38.2,0
"Cold stable",38.3,0
"Cold stable",38.4,0
"Cold stable",38.5,0
"Cold stable",38.6,0
"Cold stable",38.7,0
"Cold stable",38.8,0
"Cold stable",38.9,0
"Cold stable",39,0
"Cold stable",39.1,0
