Year,Month,McLaughlin,White Mountain,Anza Borrego HQ ,Boyd Deep Canyon,James San Jacinto,Elliot Chaparral,SNARL,Merced,Point Reyes ,Quail Ridge ,Valentine ,Yosemite Mariposa Grove ,Pinyon crest,Jepson Prairie,Bodega 
2018,7,0,22.3,4.39,9.85,14.73,0,23.46,0,0.57,0,18.51,0,14.02,0.01,0.77
2018,8,0,0.37,0,0.66,5.34,0,0,0,0,0,0.01,0,1.73,0,0.3
2018,9,0.02,0.74,0,0,0,0,1.1,0,3.64,0,0.07,0,0,0,1.81
2018,10,23.38,1.84,9.34,27.34,23.61,13.18,8.26,5.54,33.78,8.67,20.25,11.93,27.07,1.39,33.61
2018,11,138.67,21.52,2.85,2.88,70.88,41.93,61.62,74.45,136.61,109.55,116.04,160.02,20.66,81.42,126.3
2018,12,94.36,9.21,18.43,22.18,49.38,76.78,18.57,36.56,81.81,65.1,32.94,59.85,41.37,63.65,81.74
2019,1,256.97,52.79,30.34,33.62,110.67,75.96,110.58,65.81,241.3,234.33,166.12,187.32,86.93,129.91,161.91
2019,2,454.42,60.26,53.53,94.44,321.57,191.05,178.51,99.29,544.2,356.25,303.14,342,285.23,218.45,472.48
2019,3,198.2,46.98,5.63,6.66,65.19,36.44,68.8,67.03,184.52,144.41,135.34,158.42,19.01,100.64,206.74
2019,4,26.98,0.99,0.86,0.4,10.38,8.41,7.99,2.3,33.21,10.39,18.52,14.84,0.41,6.73,37.64
2019,5,92.01,22.27,0.71,4.01,74.4,40.21,76.4,53.78,120.23,83.41,128.5,134.89,9.24,63.05,106.04
2019,6,0,2.52,0,0,0,1.39,6.11,0,0.34,0,8.38,5.28,0,0,1.02
2019,7,0,0.52,7.47,10.71,0,0,8.92,0,0.01,0,19.73,0,6.8,0,1.1
2019,8,0,0.54,0,0,0,0,1.01,0,0.79,0,0.72,0,0,0,1.08
2019,9,3.39,4.74,7.03,9.26,11.58,3.79,5.3,0,6.33,0.82,5.09,3.64,14.44,0.78,5.55
2019,10,0,0,0,0,0,0,0,0,0.58,0,0,0,0,0,2.49
2019,11,26.32,15.39,30.35,25.41,95.83,100.85,30.39,14.24,33.63,17.4,47.64,42.44,41.06,14.75,28.15
2019,12,269.55,19.67,26.59,35.15,97.58,101.31,62.41,91.1,382.69,173.08,105.5,188.87,82.98,134.05,235.35
2020,1,77.68,1.96,0.41,0.72,9.21,10.1,12.96,17.76,84.05,39.84,18.7,29.72,5.78,31.83,82.68
2020,2,0,2.58,3.93,0.75,14.9,20.82,0.01,0,0,0,2.72,2.37,8.89,0,0
2020,3,41.06,7.31,77.43,71.19,138.18,117.59,25.19,54.61,49.76,31.82,69.41,131.67,89.9,36.59,43.02
2020,4,32.63,17.72,23.32,23.6,112.15,131.71,54.77,39.8,41.92,22.46,91.76,86.05,59.01,27.09,21.57
2020,5,34.61,0,0,0,2.05,0.62,10.55,8.07,28.18,22.2,18.78,43.88,0,12.16,40.22
2020,6,0,1.13,0,0,1.78,6.74,3.79,0,0.25,0,5.36,0.8,0,0,1.44
2020,7,0,0,0,0,0,0,0,0,0.33,0,0.12,0,0,0,3.14
2020,8,2.41,0,0,0,4,0,2.52,0,5.37,0,3.78,1.08,0.39,0,5.66
2020,9,0,0,0,0,0,0,0.77,0,0.39,0,1.86,0.01,0,0,0.26
2020,10,0,0,0,0,1.12,0.53,0,0,1.92,0,0,0,0,0,0.62
2020,11,40.71,7.52,4.35,6.4,31.16,21.74,19.55,23.6,38.06,17.46,27.79,35.76,9.25,14.4,41.76
2020,12,73.58,8.73,0,3.07,32.37,25.41,40.26,33.38,71.29,37.82,45.73,63.17,25.76,37.7,66.7
2021,1,111.3,23.78,11.14,16.63,57.81,63.97,115.72,90.11,103.95,100.64,165.19,190.5,47.24,67.35,106.85
2021,2,53.76,8.79,0,0.4,8.7,6.2,20.91,10.42,52.29,26.07,33.14,34.42,3.59,23.59,58.46
2021,3,71.7,3.92,2.54,2.48,67.26,56.75,30.95,31.57,55.97,44.8,54.84,70.77,15.46,27.3,63.31
2021,4,6.63,0.74,0.01,0,14.04,6.64,6.72,0.85,3.46,3.8,7.01,9.44,0.35,0.57,3.45
2021,5,0,2.11,0,0,0.79,1.78,6.16,0,0.18,0,5.42,0.35,0,0,0.05
2021,6,0,2.36,0,0.29,0.83,0.58,7.29,0,4.8,0,6.09,0,0.33,0,3.44
2021,7,0,9.72,6.98,21.09,11.17,2.88,21.32,0,2.73,0,21.24,0,19.17,0,1.61
2021,8,0,0,11.51,2.32,1.7,3.15,2.85,0,1.53,0,1.66,1.28,3.32,0,1.75
2021,9,4.63,1.54,2.8,1.68,7.58,4.54,2.49,0,14.1,0.81,2.01,0.09,2.38,0.46,14.39
2021,10,230.64,31.24,0.52,1.98,32.74,28.37,85.28,42.99,349.28,207.33,116.49,119.54,18.13,173.9,300.12
2021,11,51.57,3.84,0,0,0,0,12.19,7.05,77.5,30.14,11.86,23.17,0,26.21,77.92
2021,12,218.92,89.31,15.23,28.67,201.33,97.74,209.8,110.65,323.12,199.56,268.17,276.42,152.58,193.98,165.14
