"Year","Month","Site","Temperature","Site_initials","Climate profile"
1999,5,"Pinyon Crest",25.6672069248373,"PF","Hot variable"
1999,6,"Pinyon Crest",30.0032678872054,"PF","Hot variable"
1999,7,"Pinyon Crest",32.8175242690737,"PF","Hot variable"
1999,8,"Pinyon Crest",32.6826530203862,"PF","Hot variable"
1999,9,"Pinyon Crest",29.0000126557819,"PF","Hot variable"
1999,10,"Pinyon Crest",24.1159127569832,"PF","Hot variable"
1999,11,"Pinyon Crest",16.3744379721887,"PF","Hot variable"
1999,12,"Pinyon Crest",10.1510625471705,"PF","Hot variable"
2000,1,"Pinyon Crest",10.5811638156345,"PF","Hot variable"
2000,2,"Pinyon Crest",10.6737040770609,"PF","Hot variable"
2000,3,"Pinyon Crest",14.8669752158684,"PF","Hot variable"
2000,4,"Pinyon Crest",22.8923947500942,"PF","Hot variable"
2000,5,"Pinyon Crest",28.6172069248373,"PF","Hot variable"
2000,6,"Pinyon Crest",32.1032678872054,"PF","Hot variable"
2000,7,"Pinyon Crest",34.3175242690737,"PF","Hot variable"
2000,8,"Pinyon Crest",32.7826530203862,"PF","Hot variable"
2000,9,"Pinyon Crest",28.5500126557819,"PF","Hot variable"
2000,10,"Pinyon Crest",19.1159127569832,"PF","Hot variable"
2000,11,"Pinyon Crest",11.4244379721887,"PF","Hot variable"
2000,12,"Pinyon Crest",11.3510625471705,"PF","Hot variable"
2001,1,"Pinyon Crest",6.18116381563448,"PF","Hot variable"
2001,2,"Pinyon Crest",8.07370407706093,"PF","Hot variable"
2001,3,"Pinyon Crest",16.3669752158684,"PF","Hot variable"
2001,4,"Pinyon Crest",18.5423947500942,"PF","Hot variable"
2001,5,"Pinyon Crest",30.7172069248373,"PF","Hot variable"
2001,6,"Pinyon Crest",32.3032678872054,"PF","Hot variable"
2001,7,"Pinyon Crest",32.9675242690737,"PF","Hot variable"
2001,8,"Pinyon Crest",33.8326530203862,"PF","Hot variable"
2001,9,"Pinyon Crest",30.8000126557819,"PF","Hot variable"
2001,10,"Pinyon Crest",24.0159127569832,"PF","Hot variable"
2001,11,"Pinyon Crest",14.8244379721887,"PF","Hot variable"
2001,12,"Pinyon Crest",7.8510625471705,"PF","Hot variable"
2002,1,"Pinyon Crest",8.28116381563448,"PF","Hot variable"
2002,2,"Pinyon Crest",12.8737040770609,"PF","Hot variable"
2002,3,"Pinyon Crest",14.1669752158684,"PF","Hot variable"
2002,4,"Pinyon Crest",20.3423947500942,"PF","Hot variable"
2002,5,"Pinyon Crest",26.3172069248373,"PF","Hot variable"
2002,6,"Pinyon Crest",33.0032678872054,"PF","Hot variable"
2002,7,"Pinyon Crest",36.8675242690737,"PF","Hot variable"
2002,8,"Pinyon Crest",34.5326530203862,"PF","Hot variable"
2002,9,"Pinyon Crest",29.5500126557819,"PF","Hot variable"
2002,10,"Pinyon Crest",20.2159127569832,"PF","Hot variable"
2002,11,"Pinyon Crest",14.8244379721887,"PF","Hot variable"
2002,12,"Pinyon Crest",7.8510625471705,"PF","Hot variable"
2003,1,"Pinyon Crest",12.8811638156345,"PF","Hot variable"
2003,2,"Pinyon Crest",11.4737040770609,"PF","Hot variable"
2003,3,"Pinyon Crest",15.6169752158684,"PF","Hot variable"
2003,4,"Pinyon Crest",17.5923947500942,"PF","Hot variable"
2003,5,"Pinyon Crest",27.7672069248373,"PF","Hot variable"
2003,6,"Pinyon Crest",32.3032678872054,"PF","Hot variable"
2003,7,"Pinyon Crest",36.5675242690737,"PF","Hot variable"
2003,8,"Pinyon Crest",33.7826530203862,"PF","Hot variable"
2003,9,"Pinyon Crest",31.5500126557819,"PF","Hot variable"
2003,10,"Pinyon Crest",26.5659127569832,"PF","Hot variable"
2003,11,"Pinyon Crest",13.2244379721887,"PF","Hot variable"
2003,12,"Pinyon Crest",10.4010625471705,"PF","Hot variable"
2004,1,"Pinyon Crest",10.3311638156345,"PF","Hot variable"
2004,2,"Pinyon Crest",10.3237040770609,"PF","Hot variable"
2004,3,"Pinyon Crest",20.9169752158684,"PF","Hot variable"
2004,4,"Pinyon Crest",22.4923947500942,"PF","Hot variable"
2004,5,"Pinyon Crest",28.5172069248373,"PF","Hot variable"
2004,6,"Pinyon Crest",32.3532678872054,"PF","Hot variable"
2004,7,"Pinyon Crest",35.6175242690737,"PF","Hot variable"
2004,8,"Pinyon Crest",32.7826530203862,"PF","Hot variable"
2004,9,"Pinyon Crest",28.8500126557819,"PF","Hot variable"
2004,10,"Pinyon Crest",20.2159127569832,"PF","Hot variable"
2004,11,"Pinyon Crest",12.7744379721887,"PF","Hot variable"
2004,12,"Pinyon Crest",10.4510625471705,"PF","Hot variable"
2005,1,"Pinyon Crest",9.38116381563448,"PF","Hot variable"
2005,2,"Pinyon Crest",10.4237040770609,"PF","Hot variable"
2005,3,"Pinyon Crest",15.3669752158684,"PF","Hot variable"
2005,4,"Pinyon Crest",20.9923947500942,"PF","Hot variable"
2005,5,"Pinyon Crest",28.2172069248373,"PF","Hot variable"
2005,6,"Pinyon Crest",30.3032678872054,"PF","Hot variable"
2005,7,"Pinyon Crest",36.0675242690737,"PF","Hot variable"
2005,8,"Pinyon Crest",33.4326530203862,"PF","Hot variable"
