"Climate profile","Temp_continuous","Proportion_continuous"
"Cold stable",46.3,0
"Cold stable",46.4,0
"Cold stable",46.5,0
"Cold stable",46.6,0
"Cold stable",46.7,0
"Cold stable",46.8,0
"Cold stable",46.9,0
"Cold stable",47,0
"Cold stable",47.1,0
"Cold stable",47.2,0
"Cold stable",47.3,0
"Cold stable",47.4,0
"Cold stable",47.5,0
"Cold stable",47.6,0
"Cold stable",47.7,0
"Cold stable",47.8,0
"Cold stable",47.9,0
"Cold stable",48,0
"Cold stable",48.1,0
"Cold stable",48.2,0
"Cold stable",48.3,0
"Cold stable",48.4,0
"Cold stable",48.5,0
"Cold stable",48.6,0
"Cold stable",48.7,0
"Cold stable",48.8,0
"Cold stable",48.9,0
"Cold stable",49,0
"Cold stable",49.1,0
"Cold stable",49.2,0
"Cold stable",49.3,0
"Cold stable",49.4,0
"Cold stable",49.5,0
"Cold stable",49.6,0
"Cold stable",49.7,0
"Cold stable",49.8,0
"Cold stable",49.9,0
"Cold stable",50,0
"Cold stable",50.1,0
"Cold stable",50.2,0
"Cold stable",50.3,0
"Cold stable",50.4,0
"Cold stable",50.5,0
"Cold stable",50.6,0
"Cold stable",50.7,0
"Cold stable",50.8,0
"Cold stable",50.9,0
"Cold stable",51,0
"Cold stable",51.1,0
"Cold stable",51.2,0
"Cold stable",51.3,0
"Cold stable",51.4,0
"Cold stable",51.5,0
"Cold stable",51.6,0
"Cold stable",51.7,0
"Cold stable",51.8,0
"Cold stable",51.9,0
"Cold stable",52,0
"Cold stable",52.1,0
"Cold stable",52.2,0
"Cold stable",52.3,0
"Cold stable",52.4,0
"Cold stable",52.5,0
"Cold stable",52.6,0
"Cold stable",52.7,0
"Cold stable",52.8,0
"Cold stable",52.9,0
"Cold stable",53,0
"Cold stable",53.1,0
"Cold stable",53.2,0
"Cold stable",53.3,0
"Cold stable",53.4,0
"Cold stable",53.5,0
"Cold stable",53.6,0
"Cold stable",53.7,0
"Cold stable",53.8,0
"Cold stable",53.9,0
"Cold stable",54,0
"Cold stable",54.1,0
"Cold stable",54.2,0
"Cold stable",54.3,0
"Cold stable",54.4,0
"Cold stable",54.5,0
"Cold stable",54.6,0
"Cold stable",54.7,0
"Cold stable",54.8,0
"Cold stable",54.9,0
"Cold stable",55,0
"Cold variable",-5,0.0979729729729729
"Cold variable",-4.9,0.0994657854729729
"Cold variable",-4.8,0.101070878378378
